simulation_index,param_file,cycle_detail_csv,life_detail_csv,80soh_cycle,Initial SEI thickness [m]__multiplier,SEI solvent diffusivity [m2.s-1]__multiplier,Lithium plating kinetic rate constant [m.s-1]__multiplier,Dead lithium decay constant [s-1]__multiplier,Negative electrode critical stress [Pa]__multiplier,Negative electrode LAM constant proportional term [s-1]__multiplier,Initial SEI thickness [m]__value,SEI solvent diffusivity [m2.s-1]__value,Lithium plating kinetic rate constant [m.s-1]__value,Dead lithium decay constant [s-1]__value,Negative electrode critical stress [Pa]__value,Negative electrode LAM constant proportional term [s-1]__value
0,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000000.csv,life_soh_csv/sim_000000.csv,376,2.0,30.0,50.0,50.0,1.2,3.0,1e-08,7.499999999999999e-21,5.0000000000000004e-08,4.9999999999999996e-05,72000000.0,1.2e-05
1,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000001.csv,life_soh_csv/sim_000001.csv,696,1.0,5.0,5.0,5.0,0.8,1.0,5e-09,1.25e-21,5e-09,4.9999999999999996e-06,48000000.0,4e-06
2,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000002.csv,life_soh_csv/sim_000002.csv,304,1.164706017093982,11.081809316243055,20.63547571565406,48.96290856481998,1.0412047049457485,2.5469763733360566,5.8235300854699105e-09,2.7704523290607636e-21,2.0635475715654062e-08,4.896290856481998e-05,62472282.296744905,1.0187905493344226e-05
3,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000003.csv,life_soh_csv/sim_000003.csv,508,1.509581875246618,29.13570500688404,45.38888059103937,28.11935360124958,0.8243514772385234,1.188758849732801,7.54790937623309e-09,7.28392625172101e-21,4.538888059103937e-08,2.811935360124958e-05,49461088.63431141,4.7550353989312035e-06
4,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000004.csv,life_soh_csv/sim_000004.csv,663,1.2719698004878235,19.956990739452827,6.454247831179758,18.33158634918305,1.1536296370737416,1.6920229528483954,6.359849002439118e-09,4.989247684863206e-21,6.454247831179759e-09,1.833158634918305e-05,69217778.2244245,6.768091811393581e-06
5,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000005.csv,life_soh_csv/sim_000005.csv,282,1.9001093589224896,6.505734259835268,43.072499610403995,26.566790038020812,0.8751105515751103,2.10431883984617,9.500546794612448e-09,1.626433564958817e-21,4.3072499610404e-08,2.6566790038020812e-05,52506633.09450662,8.41727535938468e-06
6,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000006.csv,life_soh_csv/sim_000006.csv,345,1.10195775157144,17.453453385124277,30.47487558749116,34.65363127896915,1.0540699754113227,2.843616498566134,5.509788757857201e-09,4.363363346281069e-21,3.047487558749116e-08,3.465363127896915e-05,63244198.52467936,1.1374465994264536e-05
7,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000007.csv,life_soh_csv/sim_000007.csv,284,1.3853596784315498,21.047842965331956,37.52294633796882,39.503033202097384,0.9134624031814373,2.430533677425268,6.92679839215775e-09,5.261960741332988e-21,3.752294633796882e-08,3.950303320209738e-05,54807744.190886244,9.72213470970107e-06
8,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000008.csv,life_soh_csv/sim_000008.csv,713,1.775369555852067,11.671182147363323,25.815661837039304,7.660388277329579,0.9964256596688301,1.3541903974622356,8.876847779260336e-09,2.9177955368408307e-21,2.5815661837039307e-08,7.660388277329579e-06,59785539.58012981,5.416761589848942e-06
9,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000009.csv,life_soh_csv/sim_000009.csv,591,1.7202617000462979,24.4844886059261,15.27332204651336,14.490824808589435,1.1492762761604967,1.9918620195983525,8.60130850023149e-09,6.1211221514815245e-21,1.5273322046513362e-08,1.4490824808589435e-05,68956576.5696298,7.96744807839341e-06
10,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000010.csv,life_soh_csv/sim_000010.csv,426,1.9276505351435942,26.65515414601336,47.252840949481865,40.942935340802755,0.8628060446340172,1.3925424198914382,9.63825267571797e-09,6.663788536503339e-21,4.725284094948187e-08,4.094293534080275e-05,51768362.67804103,5.570169679565753e-06
11,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000011.csv,life_soh_csv/sim_000011.csv,366,1.462149733409702,14.356593645882908,23.24480579292899,32.68863516763301,1.1755005981170543,2.923909725804386,7.31074866704851e-09,3.589148411470727e-21,2.324480579292899e-08,3.268863516763301e-05,70530035.88702326,1.1695638903217543e-05
12,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000012.csv,life_soh_csv/sim_000012.csv,476,1.644897229727955,5.154762930468487,31.331330494619095,22.450053374789803,1.133123547469483,1.796971972371606,8.224486148639774e-09,1.2886907326171216e-21,3.1331330494619096e-08,2.24500533747898e-05,67987412.84816898,7.187887889486424e-06
13,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000013.csv,life_soh_csv/sim_000013.csv,468,1.5251445502426106,15.452233821840379,14.963543066887219,49.22558113582474,1.0787814430536495,1.7121153117451733,7.625722751213054e-09,3.8630584554600944e-21,1.496354306688722e-08,4.9225581135824735e-05,64726886.58321897,6.848461246980693e-06
14,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000014.csv,life_soh_csv/sim_000014.csv,408,1.7658408814014934,23.19022888285062,21.70459252843066,18.729220566123132,1.028559687332399,2.2853506446101615,8.829204407007467e-09,5.797557220712654e-21,2.170459252843066e-08,1.8729220566123132e-05,61713581.23994394,9.141402578440645e-06
15,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000015.csv,life_soh_csv/sim_000015.csv,375,1.3548960780588757,28.8738946894006,7.022131605316735,33.51267865843385,0.9869099488954783,2.077975396604538,6.774480390294379e-09,7.218473672350149e-21,7.022131605316735e-09,3.3512678658433847e-05,59214596.9337287,8.311901586418152e-06
16,/home/peiheng/Pybamm4NMC/parameterset/set2.json,cycle_qv_csv/sim_000016.csv,life_soh_csv/sim_000016.csv,613,1.2313684184555798,18.312015708059135,42.72585528300654,9.253933786791459,0.8385089281077542,1.1573372087081086,6.156842092277899e-09,4.5780039270147835e-21,4.2725855283006544e-08,9.253933786791457e-06,50310535.686465256,4.629348834832434e-06
